CAFA	Predikcija	Skor	UniProt	Uniprot1	UniProt2
T96060002386	GO:0005739	fp	Q9NV96	CC50A_HUMAN	CC50A_HUMAN
T96060002390	GO:0005739	fp	Q96AQ1	CC74A_HUMAN	CC74A_HUMAN
T96060002394	GO:0005739	fp	A6NKD9	CC85C_HUMAN	CC85C_HUMAN
T96060002401	GO:0005739	fp	Q8WUD4	CCD12_HUMAN	CCD12_HUMAN
T96060002404	GO:0005739	fp	Q0P6D6	CCD15_HUMAN	CCD15_HUMAN
T96060002407	GO:0005739	fp	O60826	CCD22_HUMAN	CCD22_HUMAN
T96060002424	GO:0005739	fp	Q9Y3C0	CCD53_HUMAN	CCD53_HUMAN
T96060002437	GO:0005739	fp	Q8IV32	CCD71_HUMAN	CCD71_HUMAN
T96060002438	GO:0005739	fp	Q6ZRK6	CCD73_HUMAN	CCD73_HUMAN
T96060002440	GO:0005739	fp	A2IDD5	CCD78_HUMAN	CCD78_HUMAN
T96060002449	GO:0005739	fp	Q7Z6B0	CCD91_HUMAN	CCD91_HUMAN
T96060002450	GO:0005739	fp	Q53HC0	CCD92_HUMAN	CCD92_HUMAN
T96060002452	GO:0005739	fp	Q9BW85	CCD94_HUMAN	CCD94_HUMAN
T96060002460	GO:0005739	fp	Q9Y3X0	CCDC9_HUMAN	CCDC9_HUMAN
T96060002468	GO:0005739	fp	Q9BXT2	CCG6_HUMAN	CCG6_HUMAN
T96060002494	GO:0005739	fp	P13500	CCL2_HUMAN	CCL2_HUMAN
T96060002503	GO:0005739	fp	P20248	CCNA2_HUMAN	CCNA2_HUMAN
T96060002518	GO:0005739	fp	Q14094	CCNI_HUMAN	CCNI_HUMAN
T96060002519	GO:0005739	fp	Q8IV13	CCNJL_HUMAN	CCNJL_HUMAN
T96060002526	GO:0005739	fp	O60583	CCNT2_HUMAN	CCNT2_HUMAN
T96060002527	GO:0005739	fp	Q8ND76	CCNY_HUMAN	CCNY_HUMAN
T96060002554	GO:0005739	fp	Q6V702	CD022_HUMAN	CD022_HUMAN
T96060002557	GO:0005739	fp	Q8N8J7	CD032_HUMAN	CD032_HUMAN
T96060002569	GO:0005739	fp	O75794	CD123_HUMAN	CD123_HUMAN
T96060002576	GO:0005739	fp	Q99467	CD180_HUMAN	CD180_HUMAN
T96060002579	GO:0005739	fp	P29016	CD1B_HUMAN	CD1B_HUMAN
T96060002581	GO:0005739	fp	P15813	CD1D_HUMAN	CD1D_HUMAN
T96060002582	GO:0005739	fp	P15812	CD1E_HUMAN	CD1E_HUMAN
T96060002591	GO:0005739	fp	Q5ZPR3	CD276_HUMAN	CD276_HUMAN
T96060002593	GO:0005739	fp	P10747	CD28_HUMAN	CD28_HUMAN
T96060002595	GO:0005739	fp	O95400	CD2B2_HUMAN	CD2B2_HUMAN
T96060002596	GO:0005739	fp	P06729	CD2_HUMAN	CD2_HUMAN
T96060002601	GO:0005739	fp	P16671	CD36_HUMAN	CD36_HUMAN
T96060002606	GO:0005739	fp	P07766	CD3E_HUMAN	CD3E_HUMAN
T96060002609	GO:0005739	fp	P29965	CD40L_HUMAN	CD40L_HUMAN
T96060002629	GO:0005739	fp	P09564	CD7_HUMAN	CD7_HUMAN
T96060002638	GO:0005739	fp	P48960	CD97_HUMAN	CD97_HUMAN
T96060002653	GO:0005739	fp	Q99741	CDC6_HUMAN	CDC6_HUMAN
T96060002657	GO:0005739	fp	Q99618	CDCA3_HUMAN	CDCA3_HUMAN
T96060002662	GO:0005739	fp	Q5VXM1	CDCP2_HUMAN	CDCP2_HUMAN
T96060002664	GO:0005739	fp	Q96JP9	CDHR1_HUMAN	CDHR1_HUMAN
T96060002681	GO:0005739	fp	Q8IZL9	CDK20_HUMAN	CDK20_HUMAN
T96060002683	GO:0005739	fp	Q00526	CDK3_HUMAN	CDK3_HUMAN
T96060002692	GO:0005739	fp	Q5VV42	CDKAL_HUMAN	CDKAL_HUMAN
T96060002704	GO:0005739	fp	P42773	CDN2C_HUMAN	CDN2C_HUMAN
T96060002707	GO:0005739	fp	Q16878	CDO1_HUMAN	CDO1_HUMAN
T96060002718	GO:0005739	fp	Q15517	CDSN_HUMAN	CDSN_HUMAN
T96060002726	GO:0005739	fp	Q9Y232	CDYL1_HUMAN	CDYL1_HUMAN
T96060002730	GO:0005739	fp	Q7Z6I8	CE024_HUMAN	CE024_HUMAN
T96060002731	GO:0005739	fp	Q52M75	CE027_HUMAN	CE027_HUMAN
T96060002739	GO:0005739	fp	A4QMS7	CE049_HUMAN	CE049_HUMAN
T96060002740	GO:0005739	fp	A6NDU8	CE051_HUMAN	CE051_HUMAN
T96060002744	GO:0005739	fp	A6NFR6	CE060_HUMAN	CE060_HUMAN
T96060002745	GO:0005739	fp	Q2M2E5	CE064_HUMAN	CE064_HUMAN
T96060002769	GO:0005739	fp	P40198	CEAM3_HUMAN	CEAM3_HUMAN
T96060002780	GO:0005739	fp	Q15744	CEBPE_HUMAN	CEBPE_HUMAN
T96060002787	GO:0005739	fp	P0C854	CECR9_HUMAN	CECR9_HUMAN
T96060002793	GO:0005739	fp	P08861	CEL3B_HUMAN	CEL3B_HUMAN
T96060002802	GO:0005739	fp	Q9HCU4	CELR2_HUMAN	CELR2_HUMAN
T96060002808	GO:0005739	fp	B2RD01	CENP1_HUMAN	CENP1_HUMAN
T96060002815	GO:0005739	fp	Q92674	CENPI_HUMAN	CENPI_HUMAN
T96060002817	GO:0005739	fp	Q9BS16	CENPK_HUMAN	CENPK_HUMAN
T96060002834	GO:0005739	fp	Q53EZ4	CEP55_HUMAN	CEP55_HUMAN
T96060002852	GO:0005739	fp	Q96G23	CERS2_HUMAN	CERS2_HUMAN
T96060002869	GO:0005739	fp	Q9GZU0	CF062_HUMAN	CF062_HUMAN
T96060002870	GO:0005739	fp	Q6UWU4	CF089_HUMAN	CF089_HUMAN
T96060002876	GO:0005739	fp	Q5T6M2	CF122_HUMAN	CF122_HUMAN
T96060002882	GO:0005739	fp	Q5JU67	CF157_HUMAN	CF161_HUMAN
T96060002885	GO:0005739	fp	Q5TEZ4	CF164_HUMAN	CF165_HUMAN
T96060002886	GO:0005739	fp	A8K010	CF176_HUMAN	CF176_HUMAN
T96060002901	GO:0005739	fp	Q96MT7	CFA44_HUMAN	CFA44_HUMAN
T96060002907	GO:0005739	fp	Q96N23	CFA54_HUMAN	CFA54_HUMAN
T96060002909	GO:0005739	fp	Q5T655	CFA58_HUMAN	CFA58_HUMAN
T96060002913	GO:0005739	fp	Q9C0B2	CFA74_HUMAN	CFA74_HUMAN
T96060002914	GO:0005739	fp	Q9P2B7	CFA97_HUMAN	CFA97_HUMAN
T96060002921	GO:0005739	fp	P0CG37	CFC1_HUMAN	CFC1_HUMAN
T96060002923	GO:0005739	fp	O15519	CFLAR_HUMAN	CFLAR_HUMAN
T96060002929	GO:0005739	fp	Q8WU49	CG033_HUMAN	CG033_HUMAN
T96060002930	GO:0005739	fp	Q96L11	CG034_HUMAN	CG034_HUMAN
T96060002934	GO:0005739	fp	Q8NEG2	CG057_HUMAN	CG057_HUMAN
T96060002947	GO:0005739	fp	Q8N6G5	CGAT2_HUMAN	CGAT2_HUMAN
T96060002959	GO:0005739	fp	Q96KT6	CH014_HUMAN	CH014_HUMAN
T96060002969	GO:0005739	fp	Q8N0T1	CH059_HUMAN	CH059_HUMAN
T96060002972	GO:0005739	fp	Q96K31	CH076_HUMAN	CH076_HUMAN
T96060002976	GO:0005739	fp	E5RJ46	CH087_HUMAN	CH087_HUMAN
T96060002978	GO:0005739	fp	P0DMQ9	CH089_HUMAN	CH089_HUMAN
T96060002988	GO:0005739	fp	Q96JM3	CHAP1_HUMAN	CHAP1_HUMAN
T96060002994	GO:0005739	fp	Q5T1J5	CHCH9_HUMAN	CHCH9_HUMAN
T96060003007	GO:0005739	fp	Q96EP1	CHFR_HUMAN	CHFR_HUMAN
T96060003012	GO:0005739	fp	P15882	CHIN_HUMAN	CHIN_HUMAN
T96060003015	GO:0005739	fp	Q13231	CHIT1_HUMAN	CHIT1_HUMAN
T96060003016	GO:0005739	fp	O14757	CHK1_HUMAN	CHK1_HUMAN
T96060003018	GO:0005739	fp	P35790	CHKA_HUMAN	CHKA_HUMAN
T96060003031	GO:0005739	fp	Q96FZ7	CHMP6_HUMAN	CHMP6_HUMAN
T96060003042	GO:0005739	fp	Q9Y2V2	CHSP1_HUMAN	CHSP1_HUMAN
T96060003043	GO:0005739	fp	Q86X52	CHSS1_HUMAN	CHSS1_HUMAN
T96060003044	GO:0005739	fp	Q8IZ52	CHSS2_HUMAN	CHSS2_HUMAN
T96060003052	GO:0005739	fp	Q9NS84	CHST7_HUMAN	CHST7_HUMAN
T96060003056	GO:0005739	fp	Q9NPF2	CHSTB_HUMAN	CHSTB_HUMAN
T96060003060	GO:0005739	fp	Q7LFX5	CHSTF_HUMAN	CHSTF_HUMAN
T96060003063	GO:0005739	fp	P0C843	CI014_HUMAN	CI014_HUMAN
T96060003064	GO:0005739	fp	Q9BUW7	CI016_HUMAN	CI016_HUMAN
T96060003066	GO:0005739	fp	Q9H2J1	CI037_HUMAN	CI037_HUMAN
T96060003072	GO:0005739	fp	Q8N4C0	CI062_HUMAN	CI062_HUMAN
T96060003076	GO:0005739	fp	Q96LT7	CI072_HUMAN	CI072_HUMAN
T96060003096	GO:0005739	fp	A2RU37	CI170_HUMAN	CI170_HUMAN
T96060003109	GO:0005739	fp	Q9UHD4	CIDEB_HUMAN	CIDEB_HUMAN
T96060003114	GO:0005739	fp	Q9P2M7	CING_HUMAN	CING_HUMAN
T96060003119	GO:0005739	fp	Q9C0C6	CIPC_HUMAN	CIPC_HUMAN
T96060003139	GO:0005739	fp	Q5SWW7	CJ055_HUMAN	CJ055_HUMAN
T96060003155	GO:0005739	fp	Q5SQS8	CJ120_HUMAN	CJ120_HUMAN
T96060003166	GO:0005739	fp	Q8N5U0	CK042_HUMAN	CK042_HUMAN
T96060003169	GO:0005739	fp	Q9H6J7	CK049_HUMAN	CK049_HUMAN
T96060003185	GO:0005739	fp	Q6PI97	CK088_HUMAN	CK088_HUMAN
T96060003189	GO:0005739	fp	Q7Z7L8	CK096_HUMAN	CK096_HUMAN
T96060003200	GO:0005739	fp	Q8TAZ6	CKLF2_HUMAN	CKLF2_HUMAN
T96060003205	GO:0005739	fp	Q96FZ5	CKLF7_HUMAN	CKLF7_HUMAN
T96060003206	GO:0005739	fp	Q8IZV2	CKLF8_HUMAN	CKLF8_HUMAN
T96060003222	GO:0005739	fp	Q6X4T0	CL054_HUMAN	CL054_HUMAN
T96060003233	GO:0005739	fp	G3V211	CL079_HUMAN	CL079_HUMAN
T96060003236	GO:0005739	fp	Q2HXU8	CL12B_HUMAN	CL12B_HUMAN
T96060003243	GO:0005739	fp	P16619	CL3L1_HUMAN	CL3L1_HUMAN
T96060003245	GO:0005739	fp	O75122	CLAP2_HUMAN	CLAP2_HUMAN
T96060003248	GO:0005739	fp	Q8IUN9	CLC10_HUMAN	CLC10_HUMAN
T96060003277	GO:0005739	fp	Q9UBD9	CLCF1_HUMAN	CLCF1_HUMAN
T96060003279	GO:0005739	fp	P51801	CLCKB_HUMAN	CLCKB_HUMAN
T96060003293	GO:0005739	fp	Q9Y5I7	CLD16_HUMAN	CLD16_HUMAN
T96060003348	GO:0005739	fp	Q96KA5	CLP1L_HUMAN	CLP1L_HUMAN
T96060003356	GO:0005739	fp	Q8NCR9	CLRN3_HUMAN	CLRN3_HUMAN
T96060003373	GO:0005739	fp	Q96DG6	CMBL_HUMAN	CMBL_HUMAN
T96060003378	GO:0005739	fp	Q8IY22	CMIP_HUMAN	CMIP_HUMAN
T96060003387	GO:0005739	fp	Q8IYT2	CMTR2_HUMAN	CMTR2_HUMAN
T96060003400	GO:0005739	fp	Q9H761	CN139_HUMAN	CN139_HUMAN
T96060003401	GO:0005739	fp	Q9BXV9	CN142_HUMAN	CN142_HUMAN
T96060003408	GO:0005739	fp	A1A4T8	CN182_HUMAN	CN182_HUMAN
T96060003434	GO:0005739	fp	O95406	CNIH1_HUMAN	CNIH1_HUMAN
T96060003448	GO:0005739	fp	Q9H9A5	CNO10_HUMAN	CNO10_HUMAN
T96060003458	GO:0005739	fp	Q9BV87	CNPD1_HUMAN	CNPD1_HUMAN
T96060003467	GO:0005739	fp	Q6PJW8	CNST_HUMAN	CNST_HUMAN
T96060003468	GO:0005739	fp	Q96NU0	CNT3B_HUMAN	CNT3B_HUMAN
T96060003482	GO:0005739	fp	Q9BZ76	CNTP3_HUMAN	CNTP3_HUMAN
T96060003491	GO:0005739	fp	Q9Y2V0	CO041_HUMAN	CO041_HUMAN
T96060003493	GO:0005739	fp	Q8NAA6	CO053_HUMAN	CO053_HUMAN
T96060003505	GO:0005739	fp	P02461	CO3A1_HUMAN	CO3A1_HUMAN
T96060003512	GO:0005739	fp	Q14031	CO4A6_HUMAN	CO4A6_HUMAN
T96060003516	GO:0005739	fp	P05997	CO5A2_HUMAN	CO5A2_HUMAN
T96060003518	GO:0005739	fp	P01031	CO5_HUMAN	CO5_HUMAN
T96060003522	GO:0005739	fp	A8TX70	CO6A5_HUMAN	CO6A5_HUMAN
T96060003529	GO:0005739	fp	P07357	CO8A_HUMAN	CO8A_HUMAN
T96060003532	GO:0005739	fp	P20849	CO9A1_HUMAN	CO9A1_HUMAN
T96060003543	GO:0005739	fp	Q96CD2	COAC_HUMAN	COAC_HUMAN
T96060003546	GO:0005739	fp	P12107	COBA1_HUMAN	COBA1_HUMAN
T96060003552	GO:0005739	fp	Q5TAT6	CODA1_HUMAN	CODA1_HUMAN
T96060003553	GO:0005739	fp	Q9UH73	COE1_HUMAN	COE1_HUMAN
T96060003557	GO:0005739	fp	Q05707	COEA1_HUMAN	COEA1_HUMAN
T96060003566	GO:0005739	fp	Q9Y2V7	COG6_HUMAN	COG6_HUMAN
T96060003578	GO:0005739	fp	Q96P44	COLA1_HUMAN	COLA1_HUMAN
T96060003627	GO:0005739	fp	Q9UQ03	COR2B_HUMAN	COR2B_HUMAN
T96060003631	GO:0005739	fp	P57737	CORO7_HUMAN	CORO7_HUMAN
T96060003632	GO:0005739	fp	O00230	CORT_HUMAN	CORT_HUMAN
T96060003670	GO:0005739	fp	Q9BSU1	CP070_HUMAN	CP070_HUMAN
T96060003672	GO:0005739	fp	Q14CZ0	CP072_HUMAN	CP072_HUMAN
T96060003678	GO:0005739	fp	Q6UX73	CP089_HUMAN	CP089_HUMAN
T96060003687	GO:0005739	fp	Q9UPN4	CP131_HUMAN	CP131_HUMAN
T96060003709	GO:0005739	fp	P33260	CP2CI_HUMAN	CP2CI_HUMAN
T96060003713	GO:0005739	fp	P05181	CP2E1_HUMAN	CP2E1_HUMAN
T96060003716	GO:0005739	fp	Q6VVX0	CP2R1_HUMAN	CP2R1_HUMAN
T96060003718	GO:0005739	fp	Q7Z449	CP2U1_HUMAN	CP2U1_HUMAN
T96060003720	GO:0005739	fp	Q9HB55	CP343_HUMAN	CP343_HUMAN
T96060003732	GO:0005739	fp	Q9HBI6	CP4FB_HUMAN	CP4FB_HUMAN
T96060003747	GO:0005739	fp	A4D0V7	CPED1_HUMAN	CPED1_HUMAN
T96060003750	GO:0005739	fp	Q6PUV4	CPLX2_HUMAN	CPLX2_HUMAN
T96060003751	GO:0005739	fp	Q8WVH0	CPLX3_HUMAN	CPLX3_HUMAN
T96060003754	GO:0005739	fp	P22792	CPN2_HUMAN	CPN2_HUMAN
T96060003762	GO:0005739	fp	Q86YQ8	CPNE8_HUMAN	CPNE8_HUMAN
T96060003767	GO:0005739	fp	A6NMK7	CPS4L_HUMAN	CPS4L_HUMAN
T96060003769	GO:0005739	fp	Q9P2I0	CPSF2_HUMAN	CPSF2_HUMAN
T96060003774	GO:0005739	fp	Q8N684	CPSF7_HUMAN	CPSF7_HUMAN
T96060003782	GO:0005739	fp	Q8N123	CPXCR_HUMAN	CPXCR_HUMAN
T96060003788	GO:0005739	fp	A8MQB3	CQ051_HUMAN	CQ051_HUMAN
T96060003792	GO:0005739	fp	Q2M2W7	CQ058_HUMAN	CQ058_HUMAN
T96060003801	GO:0005739	fp	Q9BSJ5	CQ080_HUMAN	CQ080_HUMAN
T96060003821	GO:0005739	fp	Q96B23	CR025_HUMAN	CR025_HUMAN
T96060003823	GO:0005739	fp	Q68DL7	CR063_HUMAN	CR063_HUMAN
T96060003826	GO:0005739	fp	Q2VPA4	CR1L_HUMAN	CR1L_HUMAN
T96060003828	GO:0005739	fp	P20023	CR2_HUMAN	CR2_HUMAN
T96060003847	GO:0005739	fp	Q96D31	CRCM1_HUMAN	CRCM1_HUMAN
T96060003851	GO:0005739	fp	Q6WN34	CRDL2_HUMAN	CRDL2_HUMAN
T96060003853	GO:0005739	fp	O43889	CREB3_HUMAN	CREB3_HUMAN
T96060003864	GO:0005739	fp	Q13324	CRFR2_HUMAN	CRFR2_HUMAN
T96060003865	GO:0005739	fp	P06850	CRF_HUMAN	CRF_HUMAN
T96060003869	GO:0005739	fp	P07320	CRGD_HUMAN	CRGD_HUMAN
T96060003871	GO:0005739	fp	P24387	CRHBP_HUMAN	CRHBP_HUMAN
T96060003876	GO:0005739	fp	Q9P021	CRIPT_HUMAN	CRIPT_HUMAN
T96060003878	GO:0005739	fp	P16562	CRIS2_HUMAN	CRIS2_HUMAN
T96060003879	GO:0005739	fp	P54108	CRIS3_HUMAN	CRIS3_HUMAN
T96060003900	GO:0005739	fp	O95727	CRTAM_HUMAN	CRTAM_HUMAN
T96060003901	GO:0005739	fp	O75718	CRTAP_HUMAN	CRTAP_HUMAN
T96060003904	GO:0005739	fp	Q6UUV7	CRTC3_HUMAN	CRTC3_HUMAN
T96060003932	GO:0005739	fp	A6NCJ1	CS071_HUMAN	CS071_HUMAN
T96060003933	GO:0005739	fp	Q9NVV2	CS073_HUMAN	CS073_HUMAN
T96060003948	GO:0005739	fp	Q9Y2W7	CSEN_HUMAN	CSEN_HUMAN
T96060003951	GO:0005739	fp	P15509	CSF2R_HUMAN	CSF2R_HUMAN
T96060003954	GO:0005739	fp	P09919	CSF3_HUMAN	CSF3_HUMAN
T96060003972	GO:0005739	fp	Q9UNS2	CSN3_HUMAN	CSN3_HUMAN
T96060003973	GO:0005739	fp	Q9BT78	CSN4_HUMAN	CSN4_HUMAN
T96060003975	GO:0005739	fp	Q7L5N1	CSN6_HUMAN	CSN6_HUMAN
T96060003977	GO:0005739	fp	Q9H9Q2	CSN7B_HUMAN	CSN7B_HUMAN
T96060003980	GO:0005739	fp	P13611	CSPG2_HUMAN	CSPG4_HUMAN
T96060003986	GO:0005739	fp	Q9H175	CSRN2_HUMAN	CSRN3_HUMAN
T96060003988	GO:0005739	fp	P21291	CSRP1_HUMAN	CSRP2_HUMAN
T96060004012	GO:0005739	fp	Q96LM9	CT173_HUMAN	CT187_HUMAN
T96060004013	GO:0005739	fp	Q9UGB4	CT187_HUMAN	CT18_HUMAN
T96060004019	GO:0005739	fp	A1L168	CT202_HUMAN	CT202_HUMAN
T96060004022	GO:0005739	fp	Q5HYN5	CT451_HUMAN	CT451_HUMAN
T96060004023	GO:0005739	fp	Q5DJT8	CT452_HUMAN	CT452_HUMAN
T96060004024	GO:0005739	fp	Q8NHU0	CT453_HUMAN	CT453_HUMAN
T96060004025	GO:0005739	fp	P0DMU8	CT455_HUMAN	CT455_HUMAN
T96060004026	GO:0005739	fp	P0DMU7	CT456_HUMAN	CT456_HUMAN
T96060004027	GO:0005739	fp	P0DMV0	CT457_HUMAN	CT457_HUMAN
T96060004028	GO:0005739	fp	P0DMV1	CT458_HUMAN	CT458_HUMAN
T96060004029	GO:0005739	fp	P0DMV2	CT459_HUMAN	CT459_HUMAN
T96060004030	GO:0005739	fp	P0DMU9	CT45A_HUMAN	CT45A_HUMAN
T96060004043	GO:0005739	fp	Q9GZU7	CTDS1_HUMAN	CTDS1_HUMAN
T96060004049	GO:0005739	fp	P0CG13	CTF8_HUMAN	CTF8_HUMAN
T96060004051	GO:0005739	fp	Q9HC47	CTGE1_HUMAN	CTGE1_HUMAN
T96060004061	GO:0005739	fp	Q96CG8	CTHR1_HUMAN	CTHR1_HUMAN
T96060004066	GO:0005739	fp	Q53GD3	CTL4_HUMAN	CTL4_HUMAN
T96060004072	GO:0005739	fp	Q9UI47	CTNA3_HUMAN	CTNA3_HUMAN
T96060004073	GO:0005739	fp	P35222	CTNB1_HUMAN	CTNB1_HUMAN
T96060004085	GO:0005739	fp	Q99895	CTRC_HUMAN	CTRC_HUMAN
T96060004091	GO:0005739	fp	Q86XQ3	CTSR3_HUMAN	CTSR3_HUMAN
T96060004099	GO:0005739	fp	P60606	CTXN1_HUMAN	CTXN1_HUMAN
T96060004100	GO:0005739	fp	P0C2S0	CTXN2_HUMAN	CTXN2_HUMAN
T96060004118	GO:0005739	fp	Q9UJ94	CU104_HUMAN	CU104_HUMAN
T96060004131	GO:0005739	fp	Q14999	CUL7_HUMAN	CUL7_HUMAN
T96060004141	GO:0005739	fp	Q6ZV56	CV034_HUMAN	CV034_HUMAN
T96060004143	GO:0005739	fp	Q6P5X5	CV039_HUMAN	CV039_HUMAN
T96060004155	GO:0005739	fp	Q8TB03	CX038_HUMAN	CX038_HUMAN
T96060004206	GO:0005739	fp	P36383	CXG1_HUMAN	CXG1_HUMAN
T96060004230	GO:0005739	fp	Q96F07	CYFP2_HUMAN	CYFP2_HUMAN
T96060004231	GO:0005739	fp	Q8WWM9	CYGB_HUMAN	CYGB_HUMAN
T96060004248	GO:0005739	fp	Q9NRR1	CYTL1_HUMAN	CYTL1_HUMAN
T96060004258	GO:0005739	fp	Q8WTQ1	D104A_HUMAN	D104A_HUMAN
T96060004263	GO:0005739	fp	Q8NET1	D108B_HUMAN	D108B_HUMAN
T96060004267	GO:0005739	fp	Q6NUT2	D19L2_HUMAN	D19L2_HUMAN
T96060004274	GO:0005739	fp	Q8WUS8	D42E1_HUMAN	D42E1_HUMAN
T96060004282	GO:0005739	fp	Q5VWQ8	DAB2P_HUMAN	DAB2P_HUMAN
T96060004297	GO:0005739	fp	P53355	DAPK1_HUMAN	DAPK1_HUMAN
T96060004299	GO:0005739	fp	O43293	DAPK3_HUMAN	DAPK3_HUMAN
T96060004306	GO:0005739	fp	Q9NQZ3	DAZ1_HUMAN	DAZ1_HUMAN
T96060004307	GO:0005739	fp	Q13117	DAZ2_HUMAN	DAZ2_HUMAN
T96060004309	GO:0005739	fp	Q86SG3	DAZ4_HUMAN	DAZ4_HUMAN
T96060004319	GO:0005739	fp	Q30KQ4	DB116_HUMAN	DB116_HUMAN
T96060004328	GO:0005739	fp	Q7Z7B8	DB128_HUMAN	DB128_HUMAN
T96060004331	GO:0005739	fp	P59861	DB131_HUMAN	DB131_HUMAN
T96060004334	GO:0005739	fp	Q4QY38	DB134_HUMAN	DB134_HUMAN
T96060004338	GO:0005739	fp	Q8NFT6	DBF4B_HUMAN	DBF4B_HUMAN
T96060004344	GO:0005739	fp	Q9UK59	DBR1_HUMAN	DBR1_HUMAN
T96060004348	GO:0005739	fp	Q5VW00	DC122_HUMAN	DC122_HUMAN
T96060004359	GO:0005739	fp	Q8TEB1	DCA11_HUMAN	DCA11_HUMAN
T96060004362	GO:0005739	fp	Q66K64	DCA15_HUMAN	DCA15_HUMAN
T96060004364	GO:0005739	fp	Q5H9S7	DCA17_HUMAN	DCA17_HUMAN
T96060004367	GO:0005739	fp	Q58WW2	DCAF6_HUMAN	DCAF6_HUMAN
T96060004377	GO:0005739	fp	A8MYV0	DCD2C_HUMAN	DCD2C_HUMAN
T96060004383	GO:0005739	fp	Q05329	DCE2_HUMAN	DCE2_HUMAN
T96060004384	GO:0005739	fp	P19113	DCHS_HUMAN	DCHS_HUMAN
T96060004387	GO:0005739	fp	Q8N568	DCLK2_HUMAN	DCLK2_HUMAN
T96060004397	GO:0005739	fp	Q9NPI6	DCP1A_HUMAN	DCP1A_HUMAN
T96060004401	GO:0005739	fp	Q6PJP8	DCR1A_HUMAN	DCR1A_HUMAN
T96060004406	GO:0005739	fp	Q9H295	DCSTP_HUMAN	DCSTP_HUMAN
T96060004407	GO:0005739	fp	P32321	DCTD_HUMAN	DCTD_HUMAN
T96060004418	GO:0005739	fp	Q9NUU7	DD19A_HUMAN	DD19A_HUMAN
T96060004420	GO:0005739	fp	Q9BW61	DDA1_HUMAN	DDA1_HUMAN
T96060004423	GO:0005739	fp	Q16531	DDB1_HUMAN	DDB1_HUMAN
T96060004431	GO:0005739	fp	P35638	DDIT3_HUMAN	DDIT3_HUMAN
T96060004435	GO:0005739	fp	Q96HY6	DDRGK_HUMAN	DDRGK_HUMAN
T96060004436	GO:0005739	fp	Q96D03	DDT4L_HUMAN	DDT4L_HUMAN
T96060004440	GO:0005739	fp	Q92771	DDX12_HUMAN	DDX12_HUMAN
T96060004444	GO:0005739	fp	Q9UHI6	DDX20_HUMAN	DDX20_HUMAN
T96060004447	GO:0005739	fp	Q9GZR7	DDX24_HUMAN	DDX24_HUMAN
T96060004448	GO:0005739	fp	Q9UHL0	DDX25_HUMAN	DDX25_HUMAN
T96060004453	GO:0005739	fp	O15523	DDX3Y_HUMAN	DDX3Y_HUMAN
T96060004458	GO:0005739	fp	Q9H0S4	DDX47_HUMAN	DDX47_HUMAN
T96060004464	GO:0005739	fp	Q86TM3	DDX53_HUMAN	DDX53_HUMAN
T96060004470	GO:0005739	fp	P17844	DDX5_HUMAN	DDX5_HUMAN
T96060004471	GO:0005739	fp	Q8IY21	DDX60_HUMAN	DDX60_HUMAN
T96060004487	GO:0005739	fp	Q6ZN54	DEFI8_HUMAN	DEFI8_HUMAN
T96060004511	GO:0005739	fp	Q8WUY9	DEP1B_HUMAN	DEP1B_HUMAN
T96060004517	GO:0005739	fp	Q9GZP9	DERL2_HUMAN	DERL2_HUMAN
T96060004526	GO:0005739	fp	Q05D60	DEUP1_HUMAN	DEUP1_HUMAN
T96060004530	GO:0005739	fp	O76075	DFFB_HUMAN	DFFB_HUMAN
T96060004537	GO:0005739	fp	Q9BY27	DGC6L_HUMAN	DGC6L_HUMAN
T96060004540	GO:0005739	fp	P23743	DGKA_HUMAN	DGKA_HUMAN
T96060004541	GO:0005739	fp	Q9Y6T7	DGKB_HUMAN	DGKB_HUMAN
T96060004555	GO:0005739	fp	Q53GQ0	DHB12_HUMAN	DHB12_HUMAN
T96060004564	GO:0005739	fp	Q15392	DHC24_HUMAN	DHC24_HUMAN
T96060004570	GO:0005739	fp	O43323	DHH_HUMAN	DHH_HUMAN
T96060004577	GO:0005739	fp	Q6UX07	DHR13_HUMAN	DHR13_HUMAN
T96060004588	GO:0005739	fp	O43143	DHX15_HUMAN	DHX15_HUMAN
T96060004618	GO:0005739	fp	Q9P265	DIP2B_HUMAN	DIP2B_HUMAN
T96060004619	GO:0005739	fp	Q9Y2E4	DIP2C_HUMAN	DIP2C_HUMAN
T96060004623	GO:0005739	fp	Q969H9	DIRC1_HUMAN	DIRC1_HUMAN
T96060004624	GO:0005739	fp	Q96SL1	DIRC2_HUMAN	DIRC2_HUMAN
T96060004627	GO:0005739	fp	A7MBM2	DISP2_HUMAN	DISP2_HUMAN
T96060004628	GO:0005739	fp	Q9P2K9	DISP3_HUMAN	DISP3_HUMAN
T96060004631	GO:0005739	fp	Q9NXW2	DJB12_HUMAN	DJB12_HUMAN
T96060004633	GO:0005739	fp	Q8TBM8	DJB14_HUMAN	DJB14_HUMAN
T96060004636	GO:0005739	fp	Q9UKB3	DJC12_HUMAN	DJC12_HUMAN
T96060004638	GO:0005739	fp	Q6Y2X3	DJC14_HUMAN	DJC14_HUMAN
T96060004640	GO:0005739	fp	Q9Y2G8	DJC16_HUMAN	DJC16_HUMAN
T96060004647	GO:0005739	fp	Q9NZQ0	DJC27_HUMAN	DJC27_HUMAN
